device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
AMS000126,100.110.8.102,1,1,IPC05513,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4031150,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
AMS000206,100.110.8.20,1,1,IPC04932,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3874368,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
AMS000208,100.110.8.23,1,1,IPC04932,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4031147,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
AMS000603,100.110.8.106,1,2,IPC04514,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4010767,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
AMS000718,100.110.8.101,1,3,IPC05513,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4010745,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
AMS000894,100.110.3.104,1,3,IPC05319,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3777245,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
AMS009998,192.168.28.251,1,3,IPC04514,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4031156,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000015,100.110.10.55,1,8,IPC05560,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356834,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000041,100.110.10.57,1,8,IPC05560,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356842,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000042,100.110.10.58,1,8,IPC05560,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356827,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000348,100.110.3.166,1,8,IPC05398,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3866854,FWA-5020U-00A1R,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN000363,100.110.10.59,1,8,IPC05560,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356848,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000389,100.110.3.172,1,8,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3909017,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000885,100.110.3.165,1,8,IPC03264,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820887,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN000902,100.110.3.111,1,9,IPC05325,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3688654,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN000920,100.110.3.167,1,9,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3909022,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000928,100.110.3.133,1,10,IPC03264,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820882,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN000932,100.110.8.147,1,10,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3935752,FWA-5020,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN000949,100.110.3.169,1,10,IPC05398,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3866847,FWA-5020U-00A1R,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN001125,100.110.3.83,1,11,IPC04514,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSA3267575,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN001378,100.110.3.84,1,11,IPC04514,branch,16.1-R2-S9 80561de 20190628,REACHABLE,OUT_OF_SYNC,KSA3284192,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN004315,100.110.3.95,1,11,IPC05325,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820877,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9
BCN007999,100.110.8.135,1,11,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4040946,FWA-5020,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN008749,100.110.3.174,1,11,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3820888,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BCN059084,100.110.3.173,1,11,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3908973,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BER000010,100.110.8.8,1,12,IPC04932,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4017466,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BER000064,100.110.10.14,1,13,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356817,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BER000067,100.110.10.30,1,13,IPC05398,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356819,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
