device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
BER000540,192.168.28.213,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078106,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
BRN000201,100.110.2.195,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3957760,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
BER000996,192.168.28.225,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3909046,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BER004896,192.168.28.225,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,OUT_OF_SYNC,KSA3909046,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BRU001724,100.110.3.186,1,1,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4293517,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BRU000264,100.110.2.128,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3300290,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
BRU001942,100.110.3.185,1,1,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4293512,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BRU000045,100.110.9.86,1,1,IPC05538,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3126376,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
BRU000146,100.110.9.135,1,1,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4598117,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
GER003634,100.110.8.175,1,1,IPC05521,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356824,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
GER004746,192.168.28.212,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4017460,FWA-3260,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER004926,100.110.2.112,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268117,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
GER006624,192.168.28.203,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3866846,FWA-5020U-00A1R,versa-flexvnf-20191106-113931-80561de-16.1R2S9
HAM000468,100.110.3.155,1,1,IPC05410,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4017463,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
HAM000436,192.168.28.180,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356846,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
HAM000902,100.110.3.183,1,1,IPC05410,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4017450,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
NUE000202,192.168.28.224,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3909025,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
NV-VNF-GW1-NYC,10.63.4.100,1,1,COLT,service-vnf,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CZ172201FW,ProLiant DL20 Gen9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
NV-WC2-NYC,10.63.4.103,1,1,COLT,controller,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,CZ172201FX,ProLiant DL20 Gen9,versa-flexvnf-20190628-153900-80561de-16.1R2S9
POL000408,100.110.8.72,1,1,IPC05541,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076500,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
SCN000046,192.168.28.204,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3968955,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9
SUI000233,100.110.3.113,1,1,IPC04578,branch,16.1-R2-S9 80561de 20191106,REACHABLE,OUT_OF_SYNC,KSA4271585,FWA-5020,versa-flexvnf-20191106-113931-80561de-16.1R2S9
SVQ000099,100.110.3.160,1,1,IPC04624,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3372826,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
VCE000040,192.168.28.67,1,1,IPC04472,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3773439,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
VNF-V-SIN000136,100.110.9.217,1,1,IPC04248,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,SNG-094D7F5E75094FDC610286C715ABBF28,OpenStack Compute,versa-flexvnf-20191106-113931-80561de-16.1R2S9
VNF-V-CES000472,100.110.10.106,1,1,IPC04514,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,LON-C383D8A2DB857F25F716704EE30B474B,OpenStack Compute,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm
