device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName
BCN000363,100.110.10.59,1,6,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000364,100.110.9.1,1,6,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000389,100.110.3.172,1,6,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000556,100.110.2.44,1,7,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000672,100.110.8.108,1,7,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000705,100.110.9.2,1,7,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000885,100.110.3.165,1,7,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000895,100.110.3.116,1,7,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000902,100.110.3.111,1,7,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000904,100.110.3.108,1,7,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000912,100.110.3.109,1,7,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000920,100.110.3.167,1,7,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000922,100.110.8.124,1,8,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000928,100.110.3.133,1,8,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000932,100.110.8.147,1,8,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000934,100.110.8.240,1,8,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN000944,100.110.3.168,1,8,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN000949,100.110.3.169,1,8,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN001125,100.110.3.83,1,8,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN001378,100.110.3.84,1,8,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN001568,100.110.8.242,1,8,branch,16.1-R2-S9 80561de 20191106,UNREACHABLE,UNKNOWN
BCN002231,100.110.3.182,1,9,branch,16.1-R2-S9 80561de 20191106,UNREACHABLE,UNKNOWN
BCN004315,100.110.3.95,1,9,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN006632,100.110.2.41,1,9,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN006981,100.110.3.120,1,9,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BCN007999,100.110.8.135,1,9,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN008046,100.110.3.175,1,9,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN008749,100.110.3.174,1,9,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN059084,100.110.3.173,1,9,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BCN065384,100.110.3.198,1,9,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000010,100.110.8.8,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000052,100.110.11.3,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000064,100.110.10.14,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000067,100.110.10.30,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000081,100.110.8.65,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000356,100.110.8.225,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000439,192.168.28.63,1,10,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BER000540,192.168.28.213,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000646,192.168.28.228,1,10,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000888,100.110.8.155,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000908,100.110.8.217,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000914,100.110.11.8,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000926,100.110.15.167,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000940,100.110.8.153,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000985,100.110.10.117,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER000996,192.168.28.225,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BER004896,192.168.28.225,1,11,branch,16.1-R2-S9 80561de 20191106,REACHABLE,OUT_OF_SYNC
BER005236,192.168.28.108,1,11,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BER005632,100.110.2.5,1,12,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BER009767,100.110.3.146,1,12,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BER009768,100.110.3.135,1,12,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BER011169,100.110.8.53,1,12,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BFE000022,192.168.28.231,1,12,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BHX000505,100.110.8.249,1,12,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BHX000900,100.110.8.248,1,12,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BLQ000092,100.110.8.219,1,12,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BLQ000486,100.110.9.242,1,12,branch,16.1-R2-S9 80561de 20191106,UNREACHABLE,UNKNOWN
BLQ000520,100.110.3.57,1,13,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BLX000001,100.110.2.187,1,13,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BLX000004,100.110.2.159,1,13,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BMU000200,100.110.9.25,1,13,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BMU000202,100.110.10.22,1,13,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BOU000022,192.168.28.147,1,13,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRA000018,192.168.28.95,1,13,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRE001040,100.110.9.126,1,13,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRE001041,100.110.9.127,1,13,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRI000500,100.110.8.140,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRN000201,100.110.2.195,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRN000707,100.110.3.205,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRN002349,100.110.3.248,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRS000074,100.110.3.76,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRS001104,100.110.3.30,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000004,100.110.2.12,1,14,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU000006,100.110.8.209,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000007,100.110.8.241,1,14,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000016,100.110.9.79,1,15,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000045,100.110.9.86,1,15,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000081,100.110.8.160,1,15,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000090,100.110.2.84,1,15,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU000105,100.110.9.10,1,15,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000108,100.110.9.9,1,15,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000146,100.110.9.135,1,15,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000174,100.110.9.161,1,15,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000186,172.24.133.25,1,15,branch,16.1-R2-S9 80561de 20190628,UNREACHABLE,UNKNOWN
BRU000259,100.110.2.25,1,16,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU000264,100.110.2.128,1,16,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000292,100.110.9.131,1,16,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000317,100.110.10.64,1,16,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000574,100.110.2.52,1,16,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU000924,100.110.10.69,1,16,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000927,100.110.8.74,1,16,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU000966,100.110.15.230,1,16,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU001160,100.110.3.189,1,16,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU001199,100.110.8.208,1,17,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU001724,100.110.3.186,1,17,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU001738,100.110.3.187,1,17,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU001942,100.110.3.185,1,17,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU001948,100.110.3.87,1,17,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU001954,100.110.8.73,1,17,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU002182,100.110.2.238,1,17,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU002300,100.110.2.251,1,17,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU006652,192.168.28.112,1,17,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU007689,100.110.9.138,1,18,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU008282,100.110.15.175,1,18,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU009092,100.110.10.75,1,18,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU009495,100.110.3.88,1,18,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU009496,100.110.3.35,1,18,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BRU009527,100.110.9.120,1,18,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BRU022865,100.110.15.233,1,18,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BSL000145,100.110.2.183,1,18,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BSL000249,100.110.3.210,1,18,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BSL002655,100.110.8.25,1,19,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BVA000056,192.168.28.163,1,19,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BWE000013,100.110.8.191,1,19,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BWE000014,100.110.8.179,1,19,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BWE000020,100.110.9.87,1,19,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BWE000030,100.110.10.3,1,19,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC
BZO000009,100.110.2.163,1,19,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
BZO000018,100.110.2.221,1,19,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC
