cpe,upgrade,interface,bgp_nbr_match,route_match,config_match
AMS000118,CPE out-of sync.
AMS000170,VD --> CPE Request connect failed.
AGF000022,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AGP000094,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000089,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000095,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000099,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000126,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000206,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000208,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000342,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000344,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000603,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000631,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000718,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000832,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS000894,Failed to upgrade - versa-flexvnf-20190628-153900-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS001320,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS004633,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
AMS009998,Failed to upgrade - versa-flexvnf-20191106-113931-80561de-16.1R2S9 to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANE000031,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANG000013,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANG000014,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANG000025,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000009,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000090,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000097,Failed to upgrade - versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000170,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000304,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000314,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000498,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000578,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000911,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
ANR000912,Failed to upgrade - versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm to versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm,OK,OK,NOT COMPARED,OK
