device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName,package_name,package_info
BRU000006,100.110.8.209,1,4,IPC05521,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4031144,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000007,100.110.8.241,1,4,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3908977,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000016,100.110.9.79,1,4,IPC05538,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3908994,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000045,100.110.9.86,1,5,IPC05538,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3126376,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000081,100.110.8.160,1,5,IPC02049,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3917195,FWA-1010VC,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000090,100.110.2.84,1,5,IPC05020,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2830636,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000105,100.110.9.10,1,5,IPC05414,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3873707,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000108,100.110.9.9,1,5,IPC05414,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3873711,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000146,100.110.9.135,1,5,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4293515,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000174,100.110.9.161,1,5,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268085,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000259,100.110.2.25,1,5,IPC04472,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2876206,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000264,100.110.2.128,1,5,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3300290,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000292,100.110.9.131,1,5,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268118,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000317,100.110.10.64,1,5,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078111,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000574,100.110.2.52,1,5,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2876190,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000924,100.110.10.69,1,5,IPC05521,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4356818,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000927,100.110.8.74,1,5,IPC05414,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3874375,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000966,100.110.15.230,1,5,IPC05538,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3917201,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU001160,100.110.3.189,1,5,IPC02945,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820891,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU001199,100.110.8.208,1,5,IPC05521,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4087430,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU001724,100.110.3.186,1,5,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4293517,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU001738,100.110.3.187,1,5,IPC02945,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3820884,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU001942,100.110.3.185,1,5,IPC02945,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4293512,FWA-3260,versa-flexvnf-20191106-113931-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
