device_name_in_vd,ip,day,batch,org,type,softwareVersion,ping-status,sync-status,serialNo,model,existing-packageName,package_name,package_info
AMS000170,100.110.2.60,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,ERROR,KSA3094338,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
ANR000090,100.110.9.159,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268148,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
ANR008465,100.110.9.136,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076464,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BCN000364,100.110.9.1,1,1,IPC04248,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA1714331,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000264,100.110.2.128,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA3300290,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000292,100.110.9.131,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268118,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU002182,100.110.2.238,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3382035,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU007689,100.110.9.138,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076472,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
GER004948,100.110.3.10,1,1,IPC04305W,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3189398,FWA-3260,versa-flexvnf-20190628-153900-80561de-16.1R2S9,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
GNE000168,100.110.3.48,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3412732,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LYS000049,100.110.2.101,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3382033,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LYS001123,100.110.3.253,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3094345,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
QFC000514,100.110.2.232,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3372816,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
STO031003,100.110.2.21,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA2876209,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
TUR000059,100.110.2.186,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3390144,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
VIE000236,100.110.2.57,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3094320,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
ZAF000035,100.110.2.82,1,1,IPC04358,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA3412733,FWA-2320,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
ZGJ000022,100.110.9.35,1,1,IPC041200213,branch,16.1-R2-S9 80561de 20190628,REACHABLE,IN_SYNC,KSA4509821,FWA-1010VC,versa-flexvnf-20190628-153930-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
BRU000317,100.110.10.64,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078111,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
GNE000402,100.110.15.236,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076490,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LGG000902,100.110.15.238,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4268111,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
LUX001010,100.110.9.140,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076498,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
QHA000628,100.110.9.144,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4076481,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
QMO000090,100.110.9.129,1,1,IPC041103199,branch,16.1-R2-S9 80561de 20191106,REACHABLE,IN_SYNC,KSA4078154,FWA-2320,versa-flexvnf-20191106-121549-80561de-16.1R2S9-wsm,VERSA-FLEXVNF_15_2_R_3_3,versa-flexvnf-20161208-110445-87bfb51-15.2R3.3-wsm
